phrase,model,latency_ms,status,output_file
kalindio,ElevenLabs,1330.18,Success,../outputs/propernouns/elevenlabs/proper_1.mp3
kalindio,Sarvam,869.12,Success,../outputs/propernouns/sarvam/proper_1.wav
kalpana das,ElevenLabs,1204.81,Success,../outputs/propernouns/elevenlabs/proper_2.mp3
kalpana das,Sarvam,883.02,Success,../outputs/propernouns/sarvam/proper_2.wav
kalpavriksh tree,ElevenLabs,1371.5,Success,../outputs/propernouns/elevenlabs/proper_3.mp3
kalpavriksh tree,Sarvam,1047.43,Success,../outputs/propernouns/sarvam/proper_3.wav
kalpesh,ElevenLabs,1209.26,Success,../outputs/propernouns/elevenlabs/proper_4.mp3
kalpesh,Sarvam,887.08,Success,../outputs/propernouns/sarvam/proper_4.wav
kalpesh patel,ElevenLabs,1480.7,Success,../outputs/propernouns/elevenlabs/proper_5.mp3
kalpesh patel,Sarvam,794.34,Success,../outputs/propernouns/sarvam/proper_5.wav
kam bedroom,ElevenLabs,1158.2,Success,../outputs/propernouns/elevenlabs/proper_6.mp3
kam bedroom,Sarvam,1178.79,Success,../outputs/propernouns/sarvam/proper_6.wav
kam brar lloyd,ElevenLabs,1262.28,Success,../outputs/propernouns/elevenlabs/proper_7.mp3
kam brar lloyd,Sarvam,971.2,Success,../outputs/propernouns/sarvam/proper_7.wav
kamakshi three,ElevenLabs,1171.77,Success,../outputs/propernouns/elevenlabs/proper_8.mp3
kamakshi three,Sarvam,908.85,Success,../outputs/propernouns/sarvam/proper_8.wav
kamal one,ElevenLabs,1434.01,Success,../outputs/propernouns/elevenlabs/proper_9.mp3
kamal one,Sarvam,871.36,Success,../outputs/propernouns/sarvam/proper_9.wav
kamal room three,ElevenLabs,1266.03,Success,../outputs/propernouns/elevenlabs/proper_10.mp3
kamal room three,Sarvam,1026.93,Success,../outputs/propernouns/sarvam/proper_10.wav
kamal singh,ElevenLabs,1127.25,Success,../outputs/propernouns/elevenlabs/proper_11.mp3
kamal singh,Sarvam,775.77,Success,../outputs/propernouns/sarvam/proper_11.wav
kamal two,ElevenLabs,1063.4,Success,../outputs/propernouns/elevenlabs/proper_12.mp3
kamal two,Sarvam,840.35,Success,../outputs/propernouns/sarvam/proper_12.wav
kamalesh ac,ElevenLabs,1251.39,Success,../outputs/propernouns/elevenlabs/proper_13.mp3
kamalesh ac,Sarvam,994.17,Success,../outputs/propernouns/sarvam/proper_13.wav
kamaljeet singh,ElevenLabs,1323.67,Success,../outputs/propernouns/elevenlabs/proper_14.mp3
kamaljeet singh,Sarvam,927.78,Success,../outputs/propernouns/sarvam/proper_14.wav
kamesh,ElevenLabs,1729.4,Success,../outputs/propernouns/elevenlabs/proper_15.mp3
kamesh,Sarvam,805.44,Success,../outputs/propernouns/sarvam/proper_15.wav
kamlesh home,ElevenLabs,1120.03,Success,../outputs/propernouns/elevenlabs/proper_16.mp3
kamlesh home,Sarvam,806.97,Success,../outputs/propernouns/sarvam/proper_16.wav
kamsalya,ElevenLabs,1234.84,Success,../outputs/propernouns/elevenlabs/proper_17.mp3
kamsalya,Sarvam,896.88,Success,../outputs/propernouns/sarvam/proper_17.wav
kanak ac,ElevenLabs,1303.44,Success,../outputs/propernouns/elevenlabs/proper_18.mp3
kanak ac,Sarvam,844.9,Success,../outputs/propernouns/sarvam/proper_18.wav
kanaka durga,ElevenLabs,1455.83,Success,../outputs/propernouns/elevenlabs/proper_19.mp3
kanaka durga,Sarvam,839.05,Success,../outputs/propernouns/sarvam/proper_19.wav
kanasu nameboard,ElevenLabs,1288.76,Success,../outputs/propernouns/elevenlabs/proper_20.mp3
kanasu nameboard,Sarvam,953.2,Success,../outputs/propernouns/sarvam/proper_20.wav
kanchan,ElevenLabs,1192.85,Success,../outputs/propernouns/elevenlabs/proper_21.mp3
kanchan,Sarvam,814.36,Success,../outputs/propernouns/sarvam/proper_21.wav
kancharlas ac,ElevenLabs,1156.62,Success,../outputs/propernouns/elevenlabs/proper_22.mp3
